431.05087|ISTEP 10.10 - proc_pcie_scominit
431.09467|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004B30D010C3F 0000000000000047
431.09472|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000008D0D010C3F 0000000000000064
431.09477|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000008D0D010C3F 0000000000000064
431.09482|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000A60D010C3F 0000000000008000
431.09486|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000A60D010C3F 0000000000008000
431.09491|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000CD0D010C3F 0000000000000064
431.09496|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000CD0D010C3F 0000000000000064
431.09501|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000E60D010C3F 0000000000008000
431.09506|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000E60D010C3F 0000000000008000
431.09511|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000018D0D010C3F 0000000000000064
431.09517|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000018D0D010C3F 0000000000000064
431.09522|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001A60D010C3F 0000000000008000
431.09526|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001A60D010C3F 0000000000008000
431.09532|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001CD0D010C3F 0000000000000064
431.09536|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001CD0D010C3F 0000000000000064
431.09541|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001E60D010C3F 0000000000008000
431.09546|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001E60D010C3F 0000000000008000
431.09551|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000028D0D010C3F 0000000000000064
431.09556|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000028D0D010C3F 0000000000000064
431.09561|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002A60D010C3F 0000000000008000
431.09566|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002A60D010C3F 0000000000008000
431.09571|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002CD0D010C3F 0000000000000064
431.09576|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002CD0D010C3F 0000000000000064
431.09581|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002E60D010C3F 0000000000008000
431.09585|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002E60D010C3F 0000000000008000
431.09590|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000038D0D010C3F 0000000000000064
431.09595|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000038D0D010C3F 0000000000000064
431.09599|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003A60D010C3F 0000000000008000
431.09604|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003A60D010C3F 0000000000008000
431.09609|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003CD0D010C3F 0000000000000064
431.09614|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003CD0D010C3F 0000000000000064
431.09619|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003E60D010C3F 0000000000008000
431.09624|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003E60D010C3F 0000000000008000
431.09628|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000088D0D010C3F 0000000000000064
431.09633|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000088D0D010C3F 0000000000000064
431.09638|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008A60D010C3F 0000000000008000
431.09643|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008A60D010C3F 0000000000008000
431.09648|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008CD0D010C3F 0000000000000064
431.09653|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008CD0D010C3F 0000000000000064
431.09657|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008E60D010C3F 0000000000008000
431.09662|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008E60D010C3F 0000000000008000
431.09667|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000098D0D010C3F 0000000000000064
431.09672|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000098D0D010C3F 0000000000000064
431.09676|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009A60D010C3F 0000000000008000
431.09682|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009A60D010C3F 0000000000008000
431.09686|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009CD0D010C3F 0000000000000064
431.09691|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009CD0D010C3F 0000000000000064
431.09696|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009E60D010C3F 0000000000008000
431.09701|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009E60D010C3F 0000000000008000
431.09706|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000A8D0D010C3F 0000000000000064
431.09711|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000A8D0D010C3F 0000000000000064
431.09715|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000AA60D010C3F 0000000000008000
431.09721|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000AA60D010C3F 0000000000008000
431.09726|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000ACD0D010C3F 0000000000000064
431.09731|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000ACD0D010C3F 0000000000000064
