491.98994|SCAN|TRACE : PUTSCOM     :  pu.ex:k0:n0:s0:p00:c1 : 000000001001203B 0004000000000000
491.98995|FAPI|p9_pm_reset.C: ==> Auto spl wakeup enabled for core 3
491.98999|SCAN|TRACE : GETSCOM     :  pu.core:k0:n0:s0:p00:c4 : 00000000200F0100 D011000000000000
491.99002|SCAN|TRACE : PUTSCOM     :  pu.ex:k0:n0:s0:p00:c2 : 000000001001203B 0008000000000000
491.99004|FAPI|p9_pm_reset.C: ==> Auto spl wakeup enabled for core 4
491.99008|SCAN|TRACE : GETSCOM     :  pu.core:k0:n0:s0:p00:c7 : 00000000200F0100 D011000000000000
491.99011|SCAN|TRACE : PUTSCOM     :  pu.ex:k0:n0:s0:p00:c3 : 000000001001203B 0004000000000000
491.99013|FAPI|p9_pm_reset.C: ==> Auto spl wakeup enabled for core 7
491.99013|FAPI|p9_pm_reset.C: << p9_set_auto_spwkup
491.99016|FAPI_I|p9_pm_firinit.C: p9_pm_firinit start
491.99019|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005012840 0000000000000000
491.99021|FAPI_I|p9_pm_pba_firinit.C: p9_pm_pba_firinit Enter
491.99983|FAPI_I|p9_pm_pba_firinit.C: pm_pba_fir_reset Enter
492.00130|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005012845 FFFFFFFFFFFFFFFF
492.00132|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005012844 FFFFFFFFFFFFFFFF
492.00134|FAPI_I|p9_pm_pba_firinit.C: p9_pm_pba_firinit Exit
492.00138|FAPI_I|p9_pm_ppm_firinit.C: p9_pm_ppm_firinit start
492.00283|FAPI_I|p9_pm_ppm_firinit.C: pm_ppm_fir_reset start
492.00484|SCAN|TRACE : PUTSCOM     :  pu.eq:k0:n0:s0:p00:c0 : 00000000100F0122 FFFFFFFFFFFFFFFF
492.00488|SCAN|TRACE : PUTSCOM     :  pu.eq:k0:n0:s0:p00:c1 : 00000000100F0122 FFFFFFFFFFFFFFFF
492.00491|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c1 : 00000000200F0122 FFFFFFFFFFFFFFFF
492.00495|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c3 : 00000000200F0122 FFFFFFFFFFFFFFFF
492.00498|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c4 : 00000000200F0122 FFFFFFFFFFFFFFFF
492.00502|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c7 : 00000000200F0122 FFFFFFFFFFFFFFFF
492.00504|FAPI|p9_pm_ppm_firinit.C: p9_pm_ppm_firinit end
492.04292|FAPI_I|p9_pm_cme_firinit.C: p9_pm_cme_firinit start
492.01882|FAPI_I|p9_pm_cme_firinit.C: pm_cme_fir_reset start
492.01909|FAPI|p9_query_cache_access_state.C: > p9_query_cache_access_state...
492.01913|SCAN|TRACE : GETSCOM     :  pu.eq:k0:n0:s0:p00:c0 : 00000000100F011C A000FFFF00202000
492.01916|SCAN|TRACE : GETSCOM     :  pu.eq:k0:n0:s0:p00:c0 : 00000000100F0114 4BBBF00000000000
492.01918|FAPI|p9_query_cache_access_state.C: < p9_query_cache_clock_state...
492.01921|SCAN|TRACE : GETSCOM     :  pu.eq:k0:n0:s0:p00:c0 : 0000000010030008 F001FFFFFFFFFFFF
492.01922|FAPI|p9_query_cache_access_state.C: < p9_query_cache_clock_state...
492.01923|FAPI|p9_query_cache_access_state.C: < p9_query_cache_access_state...
492.02500|SCAN|TRACE : GETSCOM     :  pu.ex:k0:n0:s0:p00:c0 : 0000000010012003 063FFC0000000000
492.02501|FAPI|p9_pm_fir_class.H: EX Mask Address 10012003, Mask value  63ffc0000000000
