444.44971|ISTEP 13.12 - mss_draminit_trainadv
444.50954|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008680701103F 0000000000000000
444.50958|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008690701103F 0000000000000000
444.50963|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000086A0701103F 0000000000000000
444.50968|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000086B0701103F 0000000000000000
444.50973|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C600701103F 0000000000003E3F
444.50978|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C610701103F 0000000000003F3E
444.50983|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C620701103F 0000000000003C3C
444.50988|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C630701103F 0000000000003C3D
444.50993|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C640701103F 0000000000003F3E
444.50998|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C650701103F 0000000000003E3F
